xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
1310225978,N PARHAM RD,73,E,0.182887854671304,3,HENRICO,VA,23294,America/New_York,37.62325,-77.55538,37.62476,-77.55264
1310495410,TECHNOLOGY BLVD,,S,0.183584353884545,5,HENRICO,VA,23150,America/New_York,37.49337,-77.25082,37.49306,-77.24752
429129543,VINERY AVE,,S,0.022582805195581,5,HENRICO,VA,23233,America/New_York,37.65734,-77.64134,37.65718,-77.64098
132110708,,,W,0.007909592183272,5,HENRICO,VA,23238,America/New_York,37.61241,-77.58874,37.61246,-77.58887
135499402,DOMINION CLUB DR,,N,0.125322859222599,5,HENRICO,VA,23059,America/New_York,37.70012,-77.60156,37.70187,-77.60123
135060277,WESTMORELAND ST,,N,0.074962665876739,5,HENRICO,VA,23230,America/New_York,37.58562,-77.48638,37.58666,-77.48677
1310448230,VILLA PARK DR,,N,0.010378431811174,5,HENRICO,VA,23228,America/New_York,37.63535,-77.46353,37.6355,-77.46352
388303505,MISTY COVE CT,,W,0.04135845081624,5,HENRICO,VA,23233,America/New_York,37.66096,-77.62676,37.6608,-77.62741
441064756,RIVER RD,,W,0.234080053813169,4,HENRICO,VA,23229,America/New_York,37.57253,-77.5475,37.5729,-77.55168
388460388,OLD WYNDHAM DR,,W,0.123618023213306,5,HENRICO,VA,23059,America/New_York,37.70153,-77.61709,37.70147,-77.61935
388460389,OLD WYNDHAM DR,,W,0.062354982188443,5,HENRICO,VA,23059,America/New_York,37.70156,-77.61595,37.70153,-77.61709
388303501,PALACE WAY,,E,0.014250369304444,5,HENRICO,VA,23238,America/New_York,37.5963,-77.60153,37.59629,-77.60127
131856216,TRIPLE NOTCH CT,,N,0.040104150639356,5,HENRICO,VA,23233,America/New_York,37.64414,-77.61265,37.64465,-77.6123
441064752,RIVER RD,,E,0.234080053813169,4,HENRICO,VA,23229,America/New_York,37.5729,-77.55168,37.57253,-77.5475
134553665,HARMONY RD,,W,0.128911103400526,5,HENRICO,VA,23059,America/New_York,37.66054,-77.45119,37.6606,-77.45354
1626247435,THREE CHOPT RD,,W,0.123605517283702,5,HENRICO,VA,23233,America/New_York,37.65082,-77.62323,37.65177,-77.62511
1626247436,THREE CHOPT RD,,E,0.123605517283702,4,HENRICO,VA,23233,America/New_York,37.65177,-77.62511,37.65082,-77.62323
388460385,OLD WYNDHAM DR,,W,0.062858955033173,5,HENRICO,VA,23059,America/New_York,37.69438,-77.62419,37.69365,-77.62487
134753296,BRANDONVIEW AVE,,W,0.047099900342377,5,HENRICO,VA,23231,America/New_York,37.5117,-77.39087,37.51117,-77.39141
388460386,OLD WYNDHAM DR,,W,0.137363215538783,5,HENRICO,VA,23059,America/New_York,37.69712,-77.624,37.69514,-77.62386
388460387,WYNDHAM LAKE DR,,S,0.040874758626115,5,HENRICO,VA,23059,America/New_York,37.69846,-77.61356,37.69803,-77.61305
388460380,MOUNTAIN RD,,E,0.693161690923246,4,HENRICO,VA,23060,America/New_York,37.67326,-77.52216,37.667996662524,-77.511562522319
132383329,CHURCH RD,,E,0.070026023645992,5,HENRICO,VA,23233,America/New_York,37.64124,-77.6418,37.64064,-77.64077
135536093,ARBOR CREEK DR,,E,0.108434724834287,5,HENRICO,VA,23233,America/New_York,37.64217,-77.58908,37.64111,-77.58764
388460383,OLD WYNDHAM DR,,W,0.08060278324014,5,HENRICO,VA,23059,America/New_York,37.69365,-77.62487,37.69281,-77.62589
429125112,SADLER RD,,S,0.120871174945132,5,HENRICO,VA,23060,America/New_York,37.66012,-77.58936,37.65861,-77.59012
429125111,SADLER RD,,N,0.120871174945132,5,HENRICO,VA,23060,America/New_York,37.65861,-77.59012,37.66012,-77.58936
1310440374,WOODMAN RD,,S,0.563992821669051,4,HENRICO,VA,23228,America/New_York,37.650148512021,-77.496460631267,37.64236,-77.49398
1310545430,I-64 W,64,W,0.298166146077755,1,HENRICO,VA,23230,America/New_York,37.60526,-77.51078,37.60574,-77.51619
