INO,Signal Name,Street 1,Street 2,FYA,Type,Latitude,Longitude,Miovision Camera,Camera,Layer 2 (Switch),Layer 3 (Router),Iteris Camera,Gridsmart Camera,ITS-Plus Camera,CCTV Camera,Walk Signal Phase,Walk Crossing Locations,Coordination Group,Coordination Corridor,Dual Left
81,Derbyshire Rd. & Parham Rd.,Derbyshire Rd.,Parham Rd.,,Mast Arm,37.588269,-77.572393,,Iteris,Yes,,Yes,,,,,,16,Isolated,
82,Glenside Dr. & Paragon Pl.,Glenside Dr.,Paragon Pl.,,Mast Arm,37.609689,-77.515959,,,,Yes,,,,,,,12,Glenside,
83,Parham Rd. & September Dr.,Parham Rd.,September Dr.,,Mast Arm,37.581956,-77.568909,,,,Yes,,,,,,,16,Isolated,
84,Cox Rd. & Nuckols Rd.,Cox Rd.,Nuckols Rd.,,Mast Arm,37.665146,-77.572952,,Iteris,Yes,,Yes,,,,,,3,Innsbrook,Yes
85,Cambridge Dr. & Gayton Rd.,Cambridge Dr.,Gayton Rd.,FYA,Mast Arm,37.614156,-77.637503,,,,Yes,,,,,,,16,Isolated,
86,Church Rd./Cox Rd. & Three Chopt Rd.,Church Rd./Cox Rd.,Three Chopt Rd.,,Mast Arm,37.639821,-77.588006,,,,Yes,,,,,,,16,Isolated,
87,Gaskins Rd. & Heritage Hill Dr.,Gaskins Rd.,Heritage Hill Dr.,,Mast Arm,37.607365,-77.59048,,,,Yes,,,,,,,16,Isolated,
88,Cambridge Dr. & Ridgefield Pkwy.,Cambridge Dr.,Ridgefield Pkwy.,FYA,Mast Arm,37.621768,-77.628773,,,Yes,,,,,,PH-4-N/S Ridgefield Pkwy.,SE-NE,14,Ridgefield,
89,Gayton Rd. & Ridgefield Pkwy.,Gayton Rd.,Ridgefield Pkwy.,,Mast Arm,37.623998,-77.638031,,,,,,,,,PH-2-NB Ridgefield Pkwy.,SE-NE,14,Ridgefield,
90,Parham Rd. & Starling Dr.,Parham Rd.,Starling Dr.,,Mast Arm,37.609204,-77.564141,,,Yes,,,,,,,,16,Isolated,
91,Derbyshire Rd. & Gaskins Rd.,Derbyshire Rd.,Gaskins Rd.,FYA,Mast Arm,37.592374,-77.598257,,,,Yes,,,,,PH-4- WB Gaskins Rd.,NE-NW,11,Gaskins,
92,Gaskins Rd. & River Rd.,Gaskins Rd.,River Rd.,,Mast Arm,37.583515,-77.603649,,,Yes,,,,,,PH-2- WB Gaskins Rd.,NW-NE,16,Isolated,
93,Laburnum Ave. & Seven Hills Blvd.,Laburnum Ave.,Seven Hills Blvd.,,Mast Arm,37.493198,-77.35292,,,,Yes,,,,,,,16,Isolated,
94,Lauderdale Dr. & Ridgefield Pkwy,Lauderdale Dr.,Ridgefield Pkwy,,Red Flash,37.624394,-77.643976,,,,,,,,,,,,,
95,Cox Rd. & Innslake Dr. (north),Cox Rd.,Innslake Dr. (north),,Mast Arm,37.65115,-77.581483,,,,Yes,,,,,,,16,Isolated,
96,Hungary Rd. & Hungary Spring Rd.,Hungary Rd.,Hungary Spring Rd.,FYA,Mast Arm,37.644962,-77.51616,,,,Yes,,,,,PH-4-N/S Hungary Rd.,SE-NE,16,Isolated,
97,Bremo Rd. & St. Mary's Hospital,Bremo Rd.,St. Mary's Hospital,,Ped Flash,37.583411,-77.512388,,,,,,,,,,,,,
98,Mill Rd. & Varina Rd.,Mill Rd.,Varina Rd.,,Red Flash,37.443492,-77.36904,,,,,,,,,,,,,
99,Byrdhill Rd. & Dumbarton Rd.,Byrdhill Rd.,Dumbarton Rd.,,Mast Arm,37.603596,-77.487412,Yes,,Yes,,,,,,,,16,Isolated,
